time,value,n
2006-01-01,27,1
2006-02-01,63,2
2006-03-01,38,2
2006-04-01,43.5,2
2006-05-01,23,2
2006-06-01,21.5,2
2006-07-01,52,2
2006-08-01,33,2
2006-09-01,32,2
2006-10-01,46.5,2
2006-11-01,41,2
2006-12-01,41.5,2
2007-01-01,16,3
2007-02-01,27.25,4
2007-03-01,48.2,5
2007-04-01,37.5,6
2007-05-01,41.142857142857146,7
2007-06-01,18.5,8
2007-07-01,40.77777777777778,9
2007-08-01,40.8,10
2007-09-01,38.63636363636363,11
2007-10-01,40.416666666666664,12
2007-11-01,31,13
2007-12-01,27.071428571428573,14
2008-01-01,58.357142857142854,14
2008-02-01,25.071428571428573,14
2008-03-01,50.857142857142854,14
2008-04-01,23.285714285714285,14
2008-05-01,37,14
2008-06-01,48.42857142857143,14
2008-07-01,31.142857142857142,14
2008-08-01,42.142857142857146,14
2008-09-01,39.07142857142857,14
2008-10-01,44.642857142857146,14
2008-11-01,35.642857142857146,14
2008-12-01,48.5,14
2009-01-01,44,14
2009-02-01,74.78571428571429,14
2009-03-01,70.85714285714286,14
2009-04-01,73.57142857142857,14
2009-05-01,64.42857142857143,14
2009-06-01,71.28571428571429,14
2009-07-01,62.714285714285715,14
2009-08-01,57,14
2009-09-01,60.714285714285715,14
2009-10-01,53.285714285714285,14
2009-11-01,73.5,14
2009-12-01,40,14
2010-01-01,57.785714285714285,14
2010-02-01,49.142857142857146,14
2010-03-01,62.714285714285715,14
2010-04-01,45.07142857142857,14
2010-05-01,44.642857142857146,14
2010-06-01,29.357142857142858,14
2010-07-01,55.142857142857146,14
2010-08-01,41,14
2010-09-01,45.42857142857143,14
2010-10-01,59,14
2010-11-01,69.71428571428571,14
2010-12-01,52.07142857142857,14
2011-01-01,47.57142857142857,14
2011-02-01,52.57142857142857,14
2011-03-01,42.07142857142857,14
2011-04-01,48.07142857142857,14
2011-05-01,47.07142857142857,14
2011-06-01,41.785714285714285,14
2011-07-01,55.785714285714285,14
2011-08-01,49.42857142857143,14
2011-09-01,53.92857142857143,14
2011-10-01,47.42857142857143,14
2011-11-01,54.857142857142854,14
2011-12-01,53.785714285714285,14
2012-01-01,75.92857142857143,14
2012-02-01,65.78571428571429,14
2012-03-01,62.785714285714285,14
2012-04-01,63.857142857142854,14
2012-05-01,57.214285714285715,14
2012-06-01,57.5,14
2012-07-01,85.14285714285714,14
2012-08-01,63.857142857142854,14
2012-09-01,66.5,14
2012-10-01,72.28571428571429,14
2012-11-01,64.78571428571429,14
2012-12-01,72.71428571428571,14
2013-01-01,59.142857142857146,14
2013-02-01,67.07142857142857,14
2013-03-01,51.214285714285715,14
2013-04-01,65.64285714285714,14
2013-05-01,59.642857142857146,14
2013-06-01,88.64285714285714,14
2013-07-01,90,14
2013-08-01,41.785714285714285,14
2013-09-01,54.714285714285715,14
2013-10-01,39.57142857142857,14
2013-11-01,39.142857142857146,14
2013-12-01,52.714285714285715,14
2014-01-01,45,14
2014-02-01,48.285714285714285,14
2014-03-01,56.57142857142857,14
2014-04-01,50.57142857142857,14
2014-05-01,41.357142857142854,14
2014-06-01,43.357142857142854,14
2014-07-01,39.285714285714285,14
2014-08-01,37.285714285714285,14
2014-09-01,39,14
2014-10-01,35.285714285714285,14
2014-11-01,48.214285714285715,14
2014-12-01,51.07142857142857,14
2015-01-01,39.214285714285715,14
2015-02-01,42.714285714285715,14
2015-03-01,46.357142857142854,14
2015-04-01,39.857142857142854,14
2015-05-01,40.57142857142857,14
2015-06-01,48.92857142857143,14
2015-07-01,50.214285714285715,14
2015-08-01,36.785714285714285,14
2015-09-01,54.785714285714285,14
2015-10-01,48,14
2015-11-01,57.92857142857143,14
2015-12-01,61.214285714285715,14
2016-01-01,44.142857142857146,14
2016-02-01,54.5,14
