time,value,n
2007-01-07,29,1
2007-01-14,43,1
2007-01-21,14,1
2007-01-28,0,1
2007-02-04,0,1
2007-02-11,30,1
2007-02-18,15,1
2007-02-25,42,1
2007-03-04,28,1
2007-03-11,29,1
2007-03-18,70,1
2007-03-25,13.5,2
2007-04-01,24,2
2007-04-08,32,2
2007-04-15,28.5,2
2007-04-22,50.5,2
2007-04-29,65,2
2007-05-06,32.5,2
2007-05-13,0,2
2007-05-20,20.5,2
2007-05-27,14,2
2007-06-03,0,2
2007-06-10,17.666666666666668,3
2007-06-17,4.333333333333333,3
2007-06-24,13.333333333333334,3
2007-07-01,23,3
2007-07-08,48.333333333333336,3
2007-07-15,31.666666666666668,3
2007-07-22,19.333333333333332,3
2007-07-29,14.333333333333334,3
2007-08-05,28.333333333333332,3
2007-08-12,44.666666666666664,3
2007-08-19,27,3
2007-08-26,11.5,4
2007-09-02,14.75,4
2007-09-09,29.75,4
2007-09-16,20.75,4
2007-09-23,29.5,4
2007-09-30,16.5,4
2007-10-07,29.75,4
2007-10-14,20.25,4
2007-10-21,25.5,4
2007-10-28,9,4
2007-11-04,25.25,4
2007-11-11,28.6,5
2007-11-18,11.4,5
2007-11-25,14.2,5
2007-12-02,32.4,5
2007-12-09,19.2,5
2007-12-16,14.4,5
2007-12-23,0,5
2007-12-30,36.2,5
2008-01-06,33.2,5
2008-01-13,31.8,5
2008-01-20,32,5
2008-01-27,32,6
2008-02-03,4.333333333333333,6
2008-02-10,24.5,6
2008-02-17,13.166666666666666,6
2008-02-24,40.666666666666664,6
2008-03-02,38.333333333333336,6
2008-03-09,26.166666666666668,6
2008-03-16,21.833333333333332,6
2008-03-23,8.5,6
2008-03-30,28.833333333333332,6
2008-04-06,17.5,6
2008-04-13,9.142857142857142,7
2008-04-20,14,7
2008-04-27,20.571428571428573,7
2008-05-04,16.428571428571427,7
2008-05-11,18.285714285714285,7
2008-05-18,30.428571428571427,7
2008-05-25,19.428571428571427,7
2008-06-01,35.285714285714285,7
2008-06-08,19,7
2008-06-15,32.714285714285715,7
2008-06-22,38.57142857142857,7
2008-06-29,11.625,8
2008-07-06,9.125,8
2008-07-13,24,8
2008-07-20,39.5,8
2008-07-27,18.5,8
2008-08-03,19.375,8
2008-08-10,18.125,8
2008-08-17,36.875,8
2008-08-24,21,8
2008-08-31,26.375,8
2008-09-07,29.125,8
2008-09-14,15.555555555555555,9
2008-09-21,25.333333333333332,9
2008-09-28,21.77777777777778,9
2008-10-05,21.444444444444443,9
2008-10-12,26.555555555555557,9
2008-10-19,36.44444444444444,9
2008-10-26,18.333333333333332,9
2008-11-02,27.88888888888889,9
2008-11-09,17.11111111111111,9
2008-11-16,24.11111111111111,9
2008-11-23,17.77777777777778,9
2008-11-30,23.5,10
2008-12-07,12.2,10
2008-12-14,38.3,10
2008-12-21,38.2,10
2008-12-28,28.2,10
2009-01-04,16.1,10
2009-01-11,32.8,10
2009-01-18,23,10
2009-01-25,26.2,10
2009-02-01,42,10
2009-02-08,53.9,10
2009-02-15,43,11
2009-02-22,31.545454545454547,11
2009-03-01,27.09090909090909,11
2009-03-08,71.81818181818181,11
2009-03-15,52.90909090909091,11
2009-03-22,25.09090909090909,11
2009-03-29,30.636363636363637,11
2009-04-05,53,11
2009-04-12,63.27272727272727,11
2009-04-19,13.272727272727273,11
2009-04-26,52.54545454545455,11
2009-05-03,23.333333333333332,12
2009-05-10,27.583333333333332,12
2009-05-17,22.25,12
2009-05-24,55.5,12
2009-05-31,47,12
2009-06-07,28.333333333333332,12
2009-06-14,46.25,12
2009-06-21,52.833333333333336,12
2009-06-28,26.5,12
2009-07-05,38,12
2009-07-12,34.25,12
2009-07-19,26.615384615384617,13
2009-07-26,42.76923076923077,13
2009-08-02,24.46153846153846,13
2009-08-09,39.61538461538461,13
2009-08-16,34.76923076923077,13
2009-08-23,31.46153846153846,13
2009-08-30,40.07692307692308,13
2009-09-06,40.84615384615385,13
2009-09-13,31.076923076923077,13
2009-09-20,20.076923076923077,13
2009-09-27,35.76923076923077,13
2009-10-04,32.357142857142854,14
2009-10-11,18.214285714285715,14
2009-10-18,29.428571428571427,14
2009-10-25,30.714285714285715,14
2009-11-01,59,14
2009-11-08,48.92857142857143,14
2009-11-15,35.357142857142854,14
2009-11-22,45.214285714285715,14
2009-11-29,48.142857142857146,14
2009-12-06,12.5,14
2009-12-13,17.214285714285715,14
2009-12-20,28.2,15
2009-12-27,19,15
2010-01-03,22.866666666666667,15
2010-01-10,23.733333333333334,15
2010-01-17,42.46666666666667,15
2010-01-24,48,15
2010-01-31,20.266666666666666,15
2010-02-07,25.466666666666665,15
2010-02-14,29.4,15
2010-02-21,39.13333333333333,15
2010-02-28,36.53333333333333,15
2010-03-07,49.1875,16
2010-03-14,31.0625,16
2010-03-21,21.125,16
2010-03-28,41,16
2010-04-04,28.8125,16
2010-04-11,19.5625,16
2010-04-18,24.1875,16
2010-04-25,34.6875,16
2010-05-02,19.0625,16
2010-05-09,17.5625,16
2010-05-16,28.125,16
2010-05-23,56.05882352941177,17
2010-05-30,18.41176470588235,17
2010-06-06,17.470588235294116,17
2010-06-13,15,17
2010-06-20,21.941176470588236,17
2010-06-27,36.94117647058823,17
2010-07-04,31.352941176470587,17
2010-07-11,16.235294117647058,17
2010-07-18,34,17
2010-07-25,52.64705882352941,17
2010-08-01,21,17
2010-08-08,19.833333333333332,18
2010-08-15,29.666666666666668,18
2010-08-22,26.444444444444443,18
2010-08-29,20.944444444444443,18
2010-09-05,19.88888888888889,18
2010-09-12,28.27777777777778,18
2010-09-19,31.72222222222222,18
2010-09-26,22.944444444444443,18
2010-10-03,41.611111111111114,18
2010-10-10,34.333333333333336,18
2010-10-17,37.05555555555556,18
2010-10-24,29.94736842105263,19
2010-10-31,30.473684210526315,19
2010-11-07,19.473684210526315,19
2010-11-14,25.68421052631579,19
2010-11-21,89.84210526315789,19
2010-11-28,46.473684210526315,19
2010-12-05,42.8421052631579,19
2010-12-12,27.57894736842105,19
2010-12-19,29.473684210526315,19
