time,value,n
2007-01-07,0,1
2007-01-14,0,1
2007-01-21,0,1
2007-01-28,0,1
2007-02-04,0,1
2007-02-11,0,1
2007-02-18,0,1
2007-02-25,0,1
2007-03-04,0,1
2007-03-11,0,1
2007-03-18,0,1
2007-03-25,0,2
2007-04-01,0,2
2007-04-08,0,2
2007-04-15,0,2
2007-04-22,0,2
2007-04-29,0,2
2007-05-06,0,2
2007-05-13,0,2
2007-05-20,7.5,2
2007-05-27,0,2
2007-06-03,0,2
2007-06-10,0,3
2007-06-17,0,3
2007-06-24,0,3
2007-07-01,0,3
2007-07-08,0,3
2007-07-15,0,3
2007-07-22,0,3
2007-07-29,0,3
2007-08-05,0,3
2007-08-12,0,3
2007-08-19,0,3
2007-08-26,7,4
2007-09-02,0,4
2007-09-09,0,4
2007-09-16,0,4
2007-09-23,6.25,4
2007-09-30,3,4
2007-10-07,0,4
2007-10-14,0,4
2007-10-21,0,4
2007-10-28,0,4
2007-11-04,0,4
2007-11-11,0,5
2007-11-18,0,5
2007-11-25,0,5
2007-12-02,0,5
2007-12-09,0,5
2007-12-16,0,5
2007-12-23,0,5
2007-12-30,0,5
2008-01-06,0,5
2008-01-13,0,5
2008-01-20,0,5
2008-01-27,0,6
2008-02-03,0,6
2008-02-10,0,6
2008-02-17,0,6
2008-02-24,0,6
2008-03-02,0,6
2008-03-09,0,6
2008-03-16,0,6
2008-03-23,0,6
2008-03-30,0,6
2008-04-06,0,6
2008-04-13,0,7
2008-04-20,1.4285714285714286,7
2008-04-27,0,7
2008-05-04,0,7
2008-05-11,0,7
2008-05-18,3.142857142857143,7
2008-05-25,0,7
2008-06-01,0,7
2008-06-08,0,7
2008-06-15,0,7
2008-06-22,0,7
2008-06-29,0,8
2008-07-06,0,8
2008-07-13,0,8
2008-07-20,0,8
2008-07-27,0,8
2008-08-03,0,8
2008-08-10,0,8
2008-08-17,0,8
2008-08-24,0,8
2008-08-31,0,8
2008-09-07,0,8
2008-09-14,0,9
2008-09-21,0,9
2008-09-28,4,9
2008-10-05,2.6666666666666665,9
2008-10-12,8.777777777777779,9
2008-10-19,15.666666666666666,9
2008-10-26,25.555555555555557,9
2008-11-02,8.666666666666666,9
2008-11-09,11.11111111111111,9
2008-11-16,19.333333333333332,9
2008-11-23,19.11111111111111,9
2008-11-30,20.5,10
2008-12-07,19.1,10
2008-12-14,12.8,10
2008-12-21,6.7,10
2008-12-28,2.6,10
2009-01-04,27.6,10
2009-01-11,56.9,10
2009-01-18,46.7,10
2009-01-25,66.8,10
2009-02-01,35.5,10
2009-02-08,79.3,10
2009-02-15,70.54545454545455,11
2009-02-22,60.63636363636363,11
2009-03-01,42.81818181818182,11
2009-03-08,56.54545454545455,11
2009-03-15,48.36363636363637,11
2009-03-22,34.09090909090909,11
2009-03-29,33.54545454545455,11
2009-04-05,26.454545454545453,11
2009-04-12,24.727272727272727,11
