time,value,n
2007-01-07,0,1
2007-01-14,34,1
2007-01-21,0,1
2007-01-28,69,1
2007-02-04,0,1
2007-02-11,71,1
2007-02-18,0,1
2007-02-25,100,1
2007-03-04,34,1
2007-03-11,0,1
2007-03-18,65,1
2007-03-25,32,2
2007-04-01,19.5,2
2007-04-08,36.5,2
2007-04-15,66.5,2
2007-04-22,0,2
2007-04-29,0,2
2007-05-06,47,2
2007-05-13,0,2
2007-05-20,33.5,2
2007-05-27,0,2
2007-06-03,0,2
2007-06-10,29,3
2007-06-17,28.666666666666668,3
2007-06-24,40.666666666666664,3
2007-07-01,11.333333333333334,3
2007-07-08,11.666666666666666,3
2007-07-15,35.666666666666664,3
2007-07-22,43.333333333333336,3
2007-07-29,42,3
2007-08-05,21.333333333333332,3
2007-08-12,10.333333333333334,3
2007-08-19,18.666666666666668,3
2007-08-26,22,4
2007-09-02,33,4
2007-09-09,13.5,4
2007-09-16,12.25,4
2007-09-23,32.75,4
2007-09-30,57.5,4
2007-10-07,34.25,4
2007-10-14,6,4
2007-10-21,6.25,4
2007-10-28,0,4
2007-11-04,17,4
2007-11-11,21,5
2007-11-18,14.2,5
2007-11-25,38.8,5
2007-12-02,23.8,5
2007-12-09,37,5
2007-12-16,15,5
2007-12-23,21.4,5
2007-12-30,44.6,5
2008-01-06,9.2,5
2008-01-13,34.4,5
2008-01-20,22.6,5
2008-01-27,21.666666666666668,6
2008-02-03,37.666666666666664,6
2008-02-10,3.8333333333333335,6
2008-02-17,7.666666666666667,6
2008-02-24,42.833333333333336,6
2008-03-02,10.666666666666666,6
2008-03-09,11.166666666666666,6
2008-03-16,10.5,6
2008-03-23,8.166666666666666,6
2008-03-30,11.333333333333334,6
2008-04-06,32.666666666666664,6
2008-04-13,34.57142857142857,7
2008-04-20,28,7
2008-04-27,21.571428571428573,7
2008-05-04,20,7
2008-05-11,24.428571428571427,7
2008-05-18,25.142857142857142,7
2008-05-25,38.142857142857146,7
2008-06-01,15.142857142857142,7
2008-06-08,3.142857142857143,7
2008-06-15,33.714285714285715,7
2008-06-22,0,7
2008-06-29,33.75,8
2008-07-06,15.75,8
2008-07-13,24,8
2008-07-20,5.75,8
2008-07-27,14.25,8
2008-08-03,12.75,8
2008-08-10,24.25,8
2008-08-17,17.625,8
2008-08-24,38.25,8
2008-08-31,36.75,8
2008-09-07,41.75,8
2008-09-14,9.444444444444445,9
2008-09-21,1.8888888888888888,9
2008-09-28,35.44444444444444,9
2008-10-05,20,9
2008-10-12,25.666666666666668,9
2008-10-19,11.11111111111111,9
2008-10-26,9.777777777777779,9
2008-11-02,34,9
2008-11-09,24.88888888888889,9
2008-11-16,30.333333333333332,9
2008-11-23,41,9
2008-11-30,30.2,10
2008-12-07,56.7,10
2008-12-14,7.9,10
2008-12-21,7.5,10
2008-12-28,26,10
2009-01-04,39.8,10
2009-01-11,48.9,10
2009-01-18,31.5,10
2009-01-25,19.6,10
2009-02-01,23.7,10
2009-02-08,30.7,10
2009-02-15,23.727272727272727,11
2009-02-22,37.18181818181818,11
2009-03-01,42.90909090909091,11
2009-03-08,36.54545454545455,11
2009-03-15,36.27272727272727,11
2009-03-22,25.90909090909091,11
2009-03-29,27.181818181818183,11
2009-04-05,8,11
2009-04-12,32.90909090909091,11
2009-04-19,44.81818181818182,11
2009-04-26,27.181818181818183,11
2009-05-03,15.25,12
2009-05-10,27.25,12
2009-05-17,9.583333333333334,12
2009-05-24,8.5,12
2009-05-31,21.416666666666668,12
2009-06-07,21.333333333333332,12
2009-06-14,23,12
2009-06-21,14.583333333333334,12
2009-06-28,15.166666666666666,12
2009-07-05,44.083333333333336,12
2009-07-12,36.333333333333336,12
2009-07-19,52.53846153846154,13
2009-07-26,21,13
2009-08-02,34.30769230769231,13
2009-08-09,14.384615384615385,13
2009-08-16,23,13
2009-08-23,28.384615384615383,13
2009-08-30,22.076923076923077,13
2009-09-06,21.307692307692307,13
2009-09-13,49,13
2009-09-20,7.230769230769231,13
2009-09-27,16.692307692307693,13
2009-10-04,18.857142857142858,14
2009-10-11,28.785714285714285,14
2009-10-18,38.214285714285715,14
2009-10-25,13.142857142857142,14
2009-11-01,23.642857142857142,14
2009-11-08,47.857142857142854,14
2009-11-15,39.42857142857143,14
2009-11-22,33.357142857142854,14
2009-11-29,56.785714285714285,14
2009-12-06,18.928571428571427,14
2009-12-13,12.571428571428571,14
2009-12-20,15.8,15
2009-12-27,36.4,15
2010-01-03,28.133333333333333,15
2010-01-10,38.266666666666666,15
2010-01-17,37.333333333333336,15
2010-01-24,22.066666666666666,15
2010-01-31,21.333333333333332,15
2010-02-07,34.06666666666667,15
2010-02-14,31.2,15
2010-02-21,20.4,15
2010-02-28,32,15
2010-03-07,17.5625,16
2010-03-14,19.5,16
2010-03-21,20.4375,16
2010-03-28,62,16
2010-04-04,22.3125,16
2010-04-11,18.6875,16
2010-04-18,17.75,16
2010-04-25,29.1875,16
2010-05-02,28.625,16
2010-05-09,22.3125,16
2010-05-16,25,16
2010-05-23,15.705882352941176,17
2010-05-30,22.705882352941178,17
2010-06-06,16.58823529411765,17
2010-06-13,34.411764705882355,17
2010-06-20,36.35294117647059,17
2010-06-27,17.88235294117647,17
2010-07-04,30.58823529411765,17
2010-07-11,15.764705882352942,17
2010-07-18,14.470588235294118,17
2010-07-25,22.647058823529413,17
2010-08-01,21.764705882352942,17
2010-08-08,15.944444444444445,18
2010-08-15,22.944444444444443,18
2010-08-22,17.11111111111111,18
2010-08-29,36.111111111111114,18
2010-09-05,22.88888888888889,18
2010-09-12,23.666666666666668,18
2010-09-19,35.55555555555556,18
2010-09-26,36.388888888888886,18
2010-10-03,21.944444444444443,18
2010-10-10,20.72222222222222,18
2010-10-17,22.38888888888889,18
2010-10-24,33.68421052631579,19
